customerid,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
13403,39,1,75.00,4,1,1,411,Needs Attention
13247,39,4,501.12,4,4,3,443,Loyal Customers
16532,39,3,6748.80,4,3,5,435,Loyal Customers
16107,39,7,3204.16,4,5,5,455,Champions
14768,39,2,192.60,4,2,1,421,Needs Attention
15116,39,4,1352.75,4,4,4,444,Champions
15971,39,12,4199.85,4,5,5,455,Champions
16164,39,3,787.08,4,4,3,443,Loyal Customers
16422,39,51,34684.40,4,5,5,455,Champions
13430,40,2,679.45,4,3,3,433,Loyal Customers
16139,40,3,635.41,4,3,3,433,Loyal Customers
17227,40,6,909.02,4,4,3,443,Loyal Customers
15115,40,1,340.11,4,2,2,422,Potential
13189,40,2,260.68,4,2,2,422,Potential
15857,40,1,297.00,4,2,2,422,Potential
12349,40,1,1757.55,4,1,4,414,Needs Attention
13246,40,6,1787.52,4,5,4,454,Champions
14198,40,4,701.40,4,4,3,443,Loyal Customers
13167,40,4,791.33,4,4,3,443,Loyal Customers
16366,40,1,327.30,4,2,2,422,Potential
12462,40,2,1189.59,4,3,4,434,Loyal Customers
18080,40,2,1231.50,4,3,4,434,Loyal Customers
12658,40,1,686.05,4,1,3,413,Needs Attention
13971,40,8,2758.26,4,5,5,455,Champions
17664,40,2,604.64,4,3,3,433,Loyal Customers
15179,40,5,2206.95,4,4,5,445,Champions
16406,40,1,139.82,4,1,1,411,Needs Attention
17432,40,2,365.76,4,3,2,432,Potential
15527,40,8,2397.43,4,5,5,455,Champions
17253,40,1,178.26,4,1,1,411,Needs Attention
13673,40,2,377.84,4,3,2,432,Potential
14030,40,8,2346.94,4,5,5,455,Champions
13862,40,8,2209.36,4,5,5,455,Champions
16713,40,15,6906.63,4,5,5,455,Champions
15567,40,1,186.01,4,1,1,411,Needs Attention
14449,40,4,851.05,4,4,3,443,Loyal Customers
15738,40,16,4772.42,4,5,5,455,Champions
15676,40,3,3435.76,4,4,5,445,Champions
14551,40,2,186.23,4,2,1,421,Needs Attention
14482,40,6,2006.15,4,5,4,454,Champions
13282,40,3,1132.14,4,3,4,434,Loyal Customers
17010,40,1,195.36,4,1,1,411,Needs Attention
16369,40,3,1545.03,4,3,4,434,Loyal Customers
12795,40,1,430.48,4,1,2,412,Needs Attention
12904,40,2,489.01,4,3,3,433,Loyal Customers
17625,40,4,1990.31,4,4,4,444,Champions
13739,40,1,216.90,4,1,1,411,Needs Attention
15093,40,6,4597.02,4,5,5,455,Champions
12504,40,2,482.05,4,3,2,432,Potential
15105,40,7,2298.93,4,5,5,455,Champions
15645,40,1,596.53,4,1,3,413,Needs Attention
15163,40,2,304.47,4,2,2,422,Potential
14447,40,5,1163.23,4,4,4,444,Champions
13823,40,2,957.66,4,3,4,434,Loyal Customers
14587,40,9,1573.89,4,5,4,454,Champions
15132,40,5,977.93,4,4,4,444,Champions
15671,40,7,2657.13,4,5,5,455,Champions
14883,40,6,761.59,4,5,3,453,Loyal Customers
12984,40,1,97.50,4,2,1,421,Needs Attention
14300,40,1,43.20,4,1,1,411,Needs Attention
17100,40,2,971.74,4,3,4,434,Loyal Customers
14157,41,2,424.24,4,3,2,432,Potential
15465,41,18,7354.62,4,5,5,455,Champions
15044,41,17,7496.90,4,5,5,455,Champions
12540,41,17,13400.24,4,5,5,455,Champions
12395,41,12,3018.63,4,5,5,455,Champions
12523,41,11,1789.77,4,5,4,454,Champions
14502,41,11,2392.83,4,5,5,455,Champions
14159,41,11,4524.11,4,5,5,455,Champions
16710,41,10,2435.42,4,5,5,455,Champions
14525,41,9,4193.49,4,5,5,455,Champions
15988,41,1,156.78,4,1,1,411,Needs Attention
17561,41,1,164.93,4,1,1,411,Needs Attention
13832,41,1,52.20,4,1,1,411,Needs Attention
14860,41,1,170.32,4,1,1,411,Needs Attention
17758,41,8,3357.55,4,5,5,455,Champions
18110,41,1,182.80,4,1,1,411,Needs Attention
15906,41,7,1546.94,4,5,4,454,Champions
13988,41,6,4147.96,4,5,5,455,Champions
12702,41,1,219.00,4,1,1,411,Needs Attention
14052,41,1,225.36,4,1,1,411,Needs Attention
14595,41,6,1740.60,4,5,4,454,Champions
12778,41,6,822.23,4,5,3,453,Loyal Customers
14881,41,1,255.40,4,2,2,422,Potential
14553,41,5,858.85,4,4,3,443,Loyal Customers
15426,41,5,1347.83,4,4,4,444,Champions
14116,41,5,1382.74,4,4,4,444,Champions
13118,41,5,1197.81,4,4,4,444,Champions
17636,41,1,285.56,4,2,2,422,Potential
12597,41,4,3811.22,4,4,5,445,Champions
13142,41,1,307.09,4,2,2,422,Potential
17738,41,4,1879.05,4,4,4,444,Champions
16784,41,1,107.60,4,2,1,421,Needs Attention
14477,41,4,1309.60,4,4,4,444,Champions
15745,41,4,1094.59,4,4,4,444,Champions
13200,41,4,870.09,4,4,3,443,Loyal Customers
16533,41,3,1080.77,4,4,4,444,Champions
18127,41,3,342.54,4,4,2,442,Potential
13427,41,3,582.60,4,4,3,443,Loyal Customers
14950,41,1,371.20,4,2,2,422,Potential
13212,41,3,781.88,4,3,3,433,Loyal Customers
16666,41,1,118.98,4,2,1,421,Needs Attention
14359,41,3,912.18,4,3,3,433,Loyal Customers
16464,41,3,1270.86,4,3,4,434,Loyal Customers
16506,41,2,90.30,4,2,1,421,Needs Attention
16762,41,3,1207.24,4,3,4,434,Loyal Customers
15533,41,3,807.57,4,3,3,433,Loyal Customers
14984,41,2,202.37,4,2,1,421,Needs Attention
16411,41,2,205.62,4,2,1,421,Needs Attention
15850,41,2,230.62,4,2,1,421,Needs Attention
13565,41,2,240.22,4,2,1,421,Needs Attention
17425,41,2,759.17,4,3,3,433,Loyal Customers
17387,41,2,733.61,4,3,3,433,Loyal Customers
16212,41,2,690.34,4,3,3,433,Loyal Customers
17384,41,2,336.40,4,2,2,422,Potential
14664,41,2,628.33,4,3,3,433,Loyal Customers
18040,41,2,357.20,4,3,2,432,Potential
16399,41,2,408.02,4,3,2,432,Potential
15919,41,2,486.81,4,3,3,433,Loyal Customers
17555,41,2,476.11,4,3,2,432,Potential
15963,41,2,470.76,4,3,2,432,Potential
14593,43,3,587.80,4,4,3,443,Loyal Customers
15494,43,2,1278.03,4,3,4,434,Loyal Customers
12444,43,5,4985.56,4,4,5,445,Champions
16414,43,2,126.25,4,2,1,421,Needs Attention
15088,43,2,1160.07,4,3,4,434,Loyal Customers
17621,43,3,1379.90,4,3,4,434,Loyal Customers
13094,43,12,1927.32,4,5,4,454,Champions
15933,43,3,1107.46,4,4,4,444,Champions
12578,43,2,2794.51,4,3,5,435,Loyal Customers
17301,43,1,163.24,4,1,1,411,Needs Attention
15530,43,4,1469.06,4,4,4,444,Champions
13941,43,5,5112.96,4,4,5,445,Champions
17063,43,7,1461.14,4,5,4,454,Champions
14903,43,5,2783.88,4,4,5,445,Champions
14285,43,4,1910.01,4,4,4,444,Champions
12427,43,3,825.80,4,3,3,433,Loyal Customers
16924,43,3,827.61,4,3,3,433,Loyal Customers
12391,43,1,438.41,4,1,2,412,Needs Attention
18034,43,2,408.98,4,3,2,432,Potential
17760,43,2,287.59,4,2,2,422,Potential
13880,43,13,3219.77,4,5,5,455,Champions
14820,43,4,507.29,4,4,3,443,Loyal Customers
14342,43,4,668.56,4,4,3,443,Loyal Customers
17286,43,1,151.37,4,1,1,411,Needs Attention
12618,43,1,177.31,4,1,1,411,Needs Attention
14849,43,25,7930.54,4,5,5,455,Champions
16134,43,2,618.09,4,3,3,433,Loyal Customers
12380,43,4,2724.81,4,4,5,445,Champions
13962,43,2,169.55,4,2,1,421,Needs Attention
13171,43,3,468.41,4,3,2,432,Potential
12603,43,1,739.20,4,1,3,413,Needs Attention
17650,43,1,166.08,4,1,1,411,Needs Attention
14641,43,1,110.46,4,2,1,421,Needs Attention
13117,43,8,984.91,4,5,4,454,Champions
17159,43,3,1538.88,4,3,4,434,Loyal Customers
17163,43,2,293.10,4,2,2,422,Potential
17779,43,3,642.67,4,3,3,433,Loyal Customers
14793,43,1,228.99,4,1,1,411,Needs Attention
16279,43,3,1502.78,4,3,4,434,Loyal Customers
17888,43,8,689.45,4,5,3,453,Loyal Customers
16463,43,4,1422.40,4,4,4,444,Champions
12498,43,3,403.70,4,3,2,432,Potential
17961,43,39,1292.69,4,5,4,454,Champions
16945,43,19,4345.50,4,5,5,455,Champions
18061,43,10,2119.41,4,5,5,455,Champions
13516,43,3,1389.41,4,3,4,434,Loyal Customers
16293,43,10,2248.99,4,5,5,455,Champions
15368,43,1,446.94,4,1,2,412,Needs Attention
16511,43,3,901.93,4,3,3,433,Loyal Customers
13960,43,2,230.22,4,2,1,421,Needs Attention
16350,43,4,1116.47,4,4,4,444,Champions
17904,43,1,177.32,4,1,1,411,Needs Attention
12931,43,15,40949.76,4,5,5,455,Champions
14434,43,6,1372.80,4,4,4,444,Champions
17828,44,4,1820.09,4,4,4,444,Champions
16656,44,15,8625.80,4,5,5,455,Champions
12753,44,6,21429.39,4,5,5,455,Champions
18221,44,5,1041.61,4,4,4,444,Champions
17797,44,3,780.43,4,3,3,433,Loyal Customers
15811,44,6,2218.62,4,5,5,455,Champions
12477,44,6,13219.74,4,5,5,455,Champions
12610,44,5,2099.54,4,4,5,445,Champions
17147,44,4,1714.59,4,4,4,444,Champions
14416,44,2,490.22,4,3,3,433,Loyal Customers
16871,44,6,2812.34,4,5,5,455,Champions
16298,44,3,598.20,4,4,3,443,Loyal Customers
12481,44,10,5579.82,4,5,5,455,Champions
12847,44,1,772.65,4,1,3,413,Needs Attention
15287,44,2,486.69,4,3,2,432,Potential
14362,44,1,151.50,4,1,1,411,Needs Attention
13313,44,5,1555.32,4,4,4,444,Champions
13160,44,1,91.80,4,2,1,421,Needs Attention
15506,44,3,955.73,4,4,4,444,Champions
17461,44,3,735.82,4,4,3,443,Loyal Customers
12356,44,3,2811.43,4,4,5,445,Champions
16070,44,2,852.15,4,3,3,433,Loyal Customers
15529,44,11,3952.89,4,5,5,455,Champions
14112,44,7,2915.15,4,5,5,455,Champions
14508,44,2,265.56,4,2,2,422,Potential
17397,44,2,681.41,4,3,3,433,Loyal Customers
17080,44,2,287.62,4,2,2,422,Potential
16531,44,7,1244.59,4,5,4,454,Champions
17799,44,10,3026.84,4,5,5,455,Champions
17716,44,11,5655.99,4,5,5,455,Champions
17985,44,1,622.35,4,1,3,413,Needs Attention
12445,44,1,133.40,4,1,1,411,Needs Attention
13815,44,4,4027.36,4,4,5,445,Champions
12449,44,4,4067.29,4,4,5,445,Champions
15435,44,1,149.29,4,1,1,411,Needs Attention
12406,44,2,3270.30,4,3,5,435,Loyal Customers
16869,44,4,812.97,4,4,3,443,Loyal Customers
15124,44,2,184.19,4,2,1,421,Needs Attention
12997,44,4,1226.89,4,4,4,444,Champions
15489,44,3,1134.28,4,3,4,434,Loyal Customers
13028,44,2,661.32,4,3,3,433,Loyal Customers
14234,44,4,732.98,4,4,3,443,Loyal Customers
12647,44,12,3722.82,4,5,5,455,Champions
15563,44,4,1400.44,4,4,4,444,Champions
12539,44,4,5568.35,4,4,5,445,Champions
15983,44,4,1389.73,4,4,4,444,Champions
13308,44,3,1385.51,4,3,4,434,Loyal Customers
15267,44,5,1717.36,4,4,4,444,Champions
15081,44,5,504.80,4,4,3,443,Loyal Customers
16186,44,12,4006.94,4,5,5,455,Champions
17095,44,3,1324.16,4,3,4,434,Loyal Customers
15657,44,1,30.00,4,2,1,421,Needs Attention
13828,44,1,209.49,4,1,1,411,Needs Attention
16638,44,10,1680.72,4,5,4,454,Champions
13871,44,13,6403.25,4,5,5,455,Champions
12567,44,10,9401.28,4,5,5,455,Champions
13138,44,6,962.39,4,5,4,454,Champions
16042,44,5,1177.47,4,4,4,444,Champions
14332,44,3,834.31,4,3,3,433,Loyal Customers
16009,44,4,955.56,4,4,4,444,Champions
15864,44,6,1936.32,4,5,4,454,Champions
17613,44,14,4537.95,4,5,5,455,Champions
14034,44,3,646.39,4,3,3,433,Loyal Customers
17330,44,2,363.90,4,3,2,432,Potential
17549,45,2,148.86,4,2,1,421,Needs Attention
18075,45,10,2611.75,4,5,5,455,Champions
14426,45,10,4481.67,4,5,5,455,Champions
14626,45,4,2791.27,4,4,5,445,Champions
16469,45,4,618.27,4,4,3,443,Loyal Customers
15584,45,4,720.86,4,4,3,443,Loyal Customers
13449,45,1,291.88,4,2,2,422,Potential
17198,45,3,684.27,4,4,3,443,Loyal Customers
17377,45,20,4035.27,4,5,5,455,Champions
14851,45,2,511.35,4,3,3,433,Loyal Customers
13131,45,3,1073.30,4,4,4,444,Champions
15900,45,1,311.81,4,2,2,422,Potential
13575,45,5,732.07,4,4,3,443,Loyal Customers
16916,45,2,542.91,4,3,3,433,Loyal Customers
14057,45,17,6211.66,4,5,5,455,Champions
16204,45,1,357.53,4,2,2,422,Potential
15805,45,17,5488.18,4,5,5,455,Champions
17896,45,1,256.32,4,2,2,422,Potential
15110,45,4,996.10,4,4,4,444,Champions
16809,45,5,898.91,4,4,3,443,Loyal Customers
13939,45,3,568.55,4,4,3,443,Loyal Customers
15967,45,2,381.01,4,3,2,432,Potential
13816,45,2,571.67,4,3,3,433,Loyal Customers
18006,45,1,431.93,4,1,2,412,Needs Attention
16085,45,5,980.26,4,4,4,444,Champions
16804,45,3,536.99,4,3,3,433,Loyal Customers
16717,45,6,3843.08,4,5,5,455,Champions
14948,45,6,1101.97,4,5,4,454,Champions
13894,45,3,519.62,4,3,3,433,Loyal Customers
18246,45,2,596.10,4,3,3,433,Loyal Customers
13926,45,1,223.85,4,1,1,411,Needs Attention
15269,45,1,408.80,4,1,2,412,Needs Attention
14286,45,3,4628.75,4,3,5,435,Loyal Customers
14898,45,6,1202.65,4,5,4,454,Champions
14507,45,6,1367.88,4,5,4,454,Champions
16008,45,3,478.78,4,3,2,432,Potential
18059,45,3,306.46,4,3,2,432,Potential
16669,45,3,1328.78,4,3,4,434,Loyal Customers
12731,45,12,18895.91,4,5,5,455,Champions
17596,45,7,2766.51,4,5,5,455,Champions
15051,45,3,1372.41,4,3,4,434,Loyal Customers
18167,45,3,1384.86,4,3,4,434,Loyal Customers
16855,45,2,328.40,4,2,2,422,Potential
16245,45,3,1413.66,4,3,4,434,Loyal Customers
12640,45,3,1174.58,4,3,4,434,Loyal Customers
13500,45,3,1166.77,4,3,4,434,Loyal Customers
13447,45,3,1129.14,4,3,4,434,Loyal Customers
17680,45,1,184.40,4,1,1,411,Needs Attention
12500,45,11,4257.82,4,5,5,455,Champions
13629,45,11,7792.36,4,5,5,455,Champions
17368,45,8,1640.87,4,5,4,454,Champions
12910,45,8,3075.04,4,5,5,455,Champions
15432,45,1,171.19,4,1,1,411,Needs Attention
12991,45,2,503.76,4,3,3,433,Loyal Customers
13285,45,4,2709.12,4,4,5,445,Champions
12993,45,4,414.76,4,4,2,442,Potential
12626,45,9,6620.48,4,5,5,455,Champions
16999,45,2,484.82,4,3,2,432,Potential
17974,46,3,645.04,4,3,3,433,Loyal Customers
13846,46,3,865.06,4,3,3,433,Loyal Customers
12415,46,21,124914.53,4,5,5,455,Champions
15419,46,1,135.86,4,1,1,411,Needs Attention
15524,46,1,440.00,4,1,2,412,Needs Attention
14544,46,2,2002.65,4,3,4,434,Loyal Customers
14715,46,4,867.38,4,4,3,443,Loyal Customers
14714,46,1,160.19,4,1,1,411,Needs Attention
17220,46,14,3145.12,4,5,5,455,Champions
15720,46,1,598.73,4,1,3,413,Needs Attention
16341,46,4,1971.87,4,4,4,444,Champions
14522,46,4,974.54,4,4,4,444,Champions
18123,46,2,574.44,4,3,3,433,Loyal Customers
13735,46,4,2882.71,4,4,5,445,Champions
15955,46,14,4416.26,4,5,5,455,Champions
18181,46,1,361.90,4,2,2,422,Potential
15556,46,1,279.77,4,2,2,422,Potential
12676,46,6,1331.39,4,5,4,454,Champions
18043,46,3,498.24,4,3,3,433,Loyal Customers
13632,46,5,2118.93,4,4,5,445,Champions
17510,46,1,308.48,4,2,2,422,Potential
14725,46,1,644.53,4,1,3,413,Needs Attention
15981,46,8,3408.48,4,5,5,455,Champions
16240,46,2,3718.80,4,3,5,435,Loyal Customers
12933,46,3,585.03,4,4,3,443,Loyal Customers
13236,46,2,744.85,4,3,3,433,Loyal Customers
12890,46,1,376.17,4,2,2,422,Potential
17777,46,3,636.78,4,3,3,433,Loyal Customers
15758,46,1,205.25,4,1,1,411,Needs Attention
17153,46,1,213.78,4,1,1,411,Needs Attention
17357,46,2,285.03,4,2,2,422,Potential
15582,46,3,682.91,4,3,3,433,Loyal Customers
14666,46,1,195.25,4,1,1,411,Needs Attention
13066,46,2,470.80,4,3,2,432,Potential
17314,46,8,2527.92,4,5,5,455,Champions
14533,46,7,1949.72,4,5,4,454,Champions
16423,46,1,346.12,4,2,2,422,Potential
12883,46,4,703.47,4,4,3,443,Loyal Customers
18259,46,3,2338.60,4,4,5,445,Champions
17564,46,3,454.01,4,3,2,432,Potential
17540,46,2,578.90,4,3,3,433,Loyal Customers
14640,46,6,2107.38,4,5,5,455,Champions
15679,46,4,781.28,4,4,3,443,Loyal Customers
13692,46,3,1488.32,4,3,4,434,Loyal Customers
13058,46,3,271.40,4,3,2,432,Potential
13614,46,4,1564.75,4,4,4,444,Champions
13455,46,2,1058.34,4,3,4,434,Loyal Customers
14853,46,2,475.80,4,3,2,432,Potential
13410,46,5,1003.06,4,4,4,444,Champions
16557,46,2,281.85,4,2,2,422,Potential
14862,47,2,841.20,4,3,3,433,Loyal Customers
15660,47,9,1600.86,4,5,4,454,Champions
15050,47,3,1632.61,4,4,4,444,Champions
16478,47,3,331.00,4,4,2,442,Potential
15863,47,2,68.84,4,2,1,421,Needs Attention
18263,47,3,1213.16,4,3,4,434,Loyal Customers
17652,47,12,4867.72,4,5,5,455,Champions
13549,47,7,918.20,4,5,3,453,Loyal Customers
15365,47,7,2314.32,4,5,5,455,Champions
18117,47,1,307.89,4,2,2,422,Potential
12938,47,1,114.14,4,2,1,421,Needs Attention
12689,47,2,1247.61,4,3,4,434,Loyal Customers
15125,47,15,11528.48,4,5,5,455,Champions
16504,47,1,458.39,4,1,2,412,Needs Attention
16936,47,1,261.90,4,2,2,422,Potential
12374,47,1,742.93,4,1,3,413,Needs Attention
12642,47,3,1013.26,4,4,4,444,Champions
13577,47,4,1687.60,4,4,4,444,Champions
15168,47,1,106.56,4,2,1,421,Needs Attention
12428,47,9,7956.46,4,5,5,455,Champions
15291,47,15,4668.30,4,5,5,455,Champions
17235,47,2,550.06,4,3,3,433,Loyal Customers
14494,47,1,139.56,4,1,1,411,Needs Attention
17044,47,1,948.48,4,2,4,424,Potential
17658,47,2,595.42,4,3,3,433,Loyal Customers
15458,47,1,161.64,4,1,1,411,Needs Attention
16519,47,2,215.08,4,2,1,421,Needs Attention
14530,47,6,2860.46,4,5,5,455,Champions
14684,47,5,1186.34,4,4,4,444,Champions
17081,47,2,288.91,4,2,2,422,Potential
15681,47,5,1426.16,4,4,4,444,Champions
15203,47,6,1827.80,4,5,4,454,Champions
15781,47,3,345.46,4,4,2,442,Potential
17793,47,1,265.90,4,2,2,422,Potential
14902,47,1,332.66,4,2,2,422,Potential
15058,47,11,2046.18,4,5,4,454,Champions
13835,47,4,834.57,4,4,3,443,Loyal Customers
16303,47,3,5360.63,4,3,5,435,Loyal Customers
15532,47,4,1533.89,4,4,4,444,Champions
17538,47,1,98.42,4,2,1,421,Needs Attention
18211,47,5,600.07,4,4,3,443,Loyal Customers
18082,47,1,601.92,4,1,3,413,Needs Attention
14680,47,16,28754.11,4,5,5,455,Champions
17663,47,7,1802.91,4,5,4,454,Champions
14953,47,1,285.67,4,2,2,422,Potential
16207,47,1,394.38,4,2,2,422,Potential
14661,48,1,107.95,4,2,1,421,Needs Attention
13451,48,5,2882.06,4,4,5,445,Champions
13450,48,6,2043.72,4,4,4,444,Champions
14487,48,6,1136.71,4,4,4,444,Champions
15787,48,3,920.35,4,3,3,433,Loyal Customers
14499,48,3,795.87,4,4,3,443,Loyal Customers
18069,48,5,1997.59,4,4,4,444,Champions
14882,48,2,589.70,4,3,3,433,Loyal Customers
13146,48,1,225.66,4,1,1,411,Needs Attention
17041,48,3,1071.49,4,4,4,444,Champions
13170,48,1,108.03,4,2,1,421,Needs Attention
14784,48,2,289.99,4,2,2,422,Potential
17790,48,14,1960.55,4,5,4,454,Champions
15429,48,2,390.75,4,3,2,432,Potential
16898,48,3,501.03,4,3,3,433,Loyal Customers
12508,48,2,392.68,4,3,2,432,Potential
15599,48,2,761.74,4,3,3,433,Loyal Customers
15411,48,4,1345.68,4,4,4,444,Champions
14227,48,10,3350.96,4,5,5,455,Champions
13700,48,10,2248.63,4,5,5,455,Champions
16571,48,3,1421.69,4,3,4,434,Loyal Customers
13603,48,1,164.34,4,1,1,411,Needs Attention
17720,48,4,1195.94,4,4,4,444,Champions
12867,48,7,3928.62,4,5,5,455,Champions
14044,48,4,646.42,4,4,3,443,Loyal Customers
13892,48,4,632.97,4,4,3,443,Loyal Customers
13178,48,11,5725.47,4,5,5,455,Champions
16560,48,2,841.41,4,3,3,433,Loyal Customers
12865,48,2,1568.23,4,3,4,434,Loyal Customers
17287,48,7,1049.06,4,5,4,454,Champions
16726,48,5,1302.59,4,4,4,444,Champions
14382,48,1,605.60,4,1,3,413,Needs Attention
17211,48,8,2308.36,4,5,5,455,Champions
13379,48,3,567.67,4,4,3,443,Loyal Customers
16930,48,3,378.89,4,4,2,442,Potential
13984,48,5,920.51,4,4,3,443,Loyal Customers
15449,48,3,974.52,4,4,4,444,Champions
16720,48,1,152.95,4,1,1,411,Needs Attention
17838,48,5,2690.40,4,4,5,445,Champions
16416,48,3,1020.00,4,4,4,444,Champions
18209,50,1,139.10,4,1,1,411,Needs Attention
13557,50,2,584.06,4,3,3,433,Loyal Customers
12685,50,6,2863.08,4,5,5,455,Champions
17054,50,5,1356.33,4,4,4,444,Champions
14226,50,5,2194.87,4,4,5,445,Champions
17052,50,1,379.75,4,2,2,422,Potential
12712,50,13,4396.13,4,5,5,455,Champions
12384,50,2,585.27,4,3,3,433,Loyal Customers
16386,50,2,282.26,4,2,2,422,Potential
13810,50,3,1499.01,4,3,4,434,Loyal Customers
13895,50,4,2593.07,4,4,5,445,Champions
12697,50,3,957.59,4,4,4,444,Champions
15492,50,2,659.46,4,3,3,433,Loyal Customers
12691,50,6,1035.80,4,5,4,454,Champions
12480,50,4,3281.63,4,4,5,445,Champions
13091,50,1,345.82,4,2,2,422,Potential
17295,50,3,547.00,4,4,3,443,Loyal Customers
12517,50,5,2468.19,4,4,5,445,Champions
16332,50,7,1577.36,4,5,4,454,Champions
15692,50,1,191.04,4,1,1,411,Needs Attention
14035,50,5,1426.57,4,4,4,444,Champions
17015,50,3,1834.86,4,4,4,444,Champions
13727,50,2,333.48,4,2,2,422,Potential
17071,50,9,2429.03,4,5,5,455,Champions
13732,50,1,491.86,4,1,3,413,Needs Attention
12600,50,10,2599.04,4,5,5,455,Champions
18014,50,1,154.57,4,1,1,411,Needs Attention
17069,50,9,2709.70,4,5,5,455,Champions
16433,50,1,184.26,4,1,1,411,Needs Attention
15608,50,4,1093.68,4,4,4,444,Champions
14543,50,16,3586.98,4,5,5,455,Champions
16460,50,3,806.23,4,4,3,443,Loyal Customers
16912,50,11,2555.58,4,5,5,455,Champions
15557,50,1,425.68,4,1,2,412,Needs Attention
16671,50,3,1692.27,4,4,4,444,Champions
17191,50,7,2067.58,4,5,5,455,Champions
17088,50,4,1991.01,4,4,4,444,Champions
12726,50,7,2609.10,4,5,5,455,Champions
17162,50,10,1715.46,4,5,4,454,Champions
12589,50,2,646.68,4,3,3,433,Loyal Customers
17512,50,10,2924.99,4,5,5,455,Champions
13310,50,3,1132.03,4,3,4,434,Loyal Customers
14789,50,1,197.64,4,1,1,411,Needs Attention
14662,50,4,733.35,4,4,3,443,Loyal Customers
12538,51,1,363.95,4,2,2,422,Potential
14765,51,3,254.11,4,4,2,442,Potential
14944,51,12,5900.25,4,5,5,455,Champions
13606,51,3,276.75,4,3,2,432,Potential
16903,51,1,330.90,4,2,2,422,Potential
12708,51,10,2712.91,4,5,5,455,Champions
17932,51,3,1331.57,4,3,4,434,Loyal Customers
12599,51,7,1032.58,4,5,4,454,Champions
12473,51,5,3463.53,4,4,5,445,Champions
18125,51,4,1120.70,4,4,4,444,Champions
16003,51,5,2735.37,4,4,5,445,Champions
13983,51,12,2599.63,4,5,5,455,Champions
17059,51,5,3043.15,4,4,5,445,Champions
17340,51,11,12353.29,4,5,5,455,Champions
15289,51,3,939.78,4,4,4,444,Champions
13148,51,12,3647.80,4,5,5,455,Champions
16434,51,7,1511.80,4,5,4,454,Champions
17901,51,1,110.38,4,2,1,421,Needs Attention
16743,51,7,2208.06,4,5,5,455,Champions
15111,51,3,1567.48,4,3,4,434,Loyal Customers
16025,51,1,439.66,4,1,2,412,Needs Attention
14829,51,4,697.55,4,4,3,443,Loyal Customers
17521,51,3,723.21,4,3,3,433,Loyal Customers
13460,51,2,183.44,4,2,1,421,Needs Attention
16628,51,5,2188.05,4,4,5,445,Champions
16218,51,7,3084.68,4,5,5,455,Champions
18217,51,2,621.75,4,3,3,433,Loyal Customers
16907,51,5,928.76,4,4,3,443,Loyal Customers
17416,51,7,6893.42,4,5,5,455,Champions
18236,51,6,882.24,4,5,3,453,Loyal Customers
12844,51,2,320.96,4,2,2,422,Potential
16126,51,4,6287.77,4,4,5,445,Champions
15184,51,2,402.20,4,3,2,432,Potential
12659,51,1,91.68,4,2,1,421,Needs Attention
17573,51,3,380.60,4,4,2,442,Potential
16791,51,7,1702.88,4,5,4,454,Champions
15452,51,3,501.58,4,3,3,433,Loyal Customers
17791,51,1,106.10,4,2,1,421,Needs Attention
15238,51,3,1071.99,4,4,4,444,Champions
15355,51,2,277.05,4,2,2,422,Potential
17537,51,2,887.67,4,3,3,433,Loyal Customers
15463,51,1,126.14,4,1,1,411,Needs Attention
17109,51,6,870.76,4,5,3,453,Loyal Customers
14748,51,5,1415.75,4,4,4,444,Champions
12617,51,1,350.88,4,2,2,422,Potential
16986,51,2,1873.20,4,3,4,434,Loyal Customers
17977,51,1,280.70,4,2,2,422,Potential
14466,51,7,2272.40,4,5,5,455,Champions
13396,51,2,1360.99,4,3,4,434,Loyal Customers
12981,51,2,372.22,4,3,2,432,Potential
14064,51,5,1300.40,4,4,4,444,Champions
14712,51,3,917.07,4,3,3,433,Loyal Customers
13817,51,2,382.98,4,3,2,432,Potential
18135,51,5,678.61,4,4,3,443,Loyal Customers
14863,51,1,266.76,4,2,2,422,Potential
12541,51,3,981.18,4,4,4,444,Champions
17197,51,1,1013.01,4,2,4,424,Potential
14108,52,2,597.91,4,3,3,433,Loyal Customers
15027,52,4,1036.25,4,4,4,444,Champions
17702,52,4,1824.37,4,4,4,444,Champions
17038,52,1,112.40,4,2,1,421,Needs Attention
16205,52,4,747.93,4,4,3,443,Loyal Customers
16516,52,1,101.70,4,2,1,421,Needs Attention
13623,52,5,727.74,4,4,3,443,Loyal Customers
12532,52,1,349.83,4,2,2,422,Potential
16953,52,1,20.80,4,2,1,421,Needs Attention
17011,52,1,270.90,4,2,2,422,Potential
14691,52,5,2114.33,4,4,5,445,Champions
15485,52,3,2564.50,4,4,5,445,Champions
16751,52,1,1682.22,4,2,4,424,Potential
16041,52,3,3166.40,4,4,5,445,Champions
14214,52,5,1004.38,4,4,4,444,Champions
16996,52,6,1456.96,4,5,4,454,Champions
13992,52,1,76.80,4,1,1,411,Needs Attention
17867,52,6,1113.42,4,5,4,454,Champions
14188,52,6,2054.36,4,5,5,455,Champions
13029,52,3,1247.50,4,3,4,434,Loyal Customers
13384,52,7,4151.93,4,5,5,455,Champions
13804,52,7,2588.39,4,5,5,455,Champions
15450,52,1,429.84,4,1,2,412,Needs Attention
